Name,Department,Rating,Would Take Again,Difficulty Level
Joanna Gibson,Music,4.3,N/A,1.7
Xiangjin Shen,Economics,5.0,N/A,2
Brian Humphreys,Political Science,3.3,N/A,3.6
Jose (joe) Sanchez,Information Science,4.0,N/A,2.8
Hernan Castro,Mathematics,4.5,N/A,2.5
Merve Unuvar,Mathematics,4.5,N/A,1
Andriy Fomin,Classics,5.0,N/A,1
Faiza Abbas,Labor Studies,4.9,100%,1.8
Edward Bonder,Cell Biology & Neuroanatomy,0.0,N/A,0
Donna Evertsen,Nursing,1.9,N/A,2.6
Katie Taylor,Psychology,0.0,N/A,0
Jillian Hernandez,Women's Studies,3.7,N/A,1
Angand Kale,Physics,3.0,N/A,1
Fakhrolmolouk Haghani,Middle Eastern Studies,3.8,100%,2.3
Katy Birckmayer,Women's Studies,4.0,N/A,2
Gabriella Carolini,Public Health,4.8,N/A,3.4
Mathieu Lentine,Exercise & Sport Science,4.0,84%,2.5
Rocio Magana,Anthropology,4.3,N/A,1.8
Hanin Rashid,Education,5.0,100%,2
Kristin Conard,English,3.6,N/A,3.3
Carl Siebert,Social Work,2.8,N/A,3.1
Colleen Martinez,Social Work,5.0,N/A,2.3
Yerra Sugarman,English,5.0,N/A,2
Joshua Gelles,Communication,4.6,N/A,2
Ricki Sablove,Art History,4.5,N/A,2.8
Mona Kleinberg,Political Science,4.4,N/A,2.1
Sara Plummer,Social Work,3.7,100%,3.5
Kim Butler,African Studies,3.8,80%,2.2
Nadia Colin,French,3.8,N/A,3
Beth Angell,Social Work,5.0,N/A,2
David Duncan,Mathematics,4.8,N/A,3
Simon Chemama,French,4.3,N/A,2.5
Arthur Guarino,Finance,2.9,86%,2.4
Assenka Oksiloff,Writing,2.8,N/A,4
Maria Malyk,Sociology,4.5,N/A,1.5
Timothy Novak,English,5.0,N/A,1
Bonnie Nolan,Psychology,4.9,100%,1.3
Selim Bora,Mathematics,3.2,N/A,2.2
Demetra Kareman,English,4.9,N/A,3.8
Donna Wardell,Social Work,5.0,N/A,1
Wei Jiang,Engineering,4.5,N/A,2
Russell Jones,History,3.5,N/A,2.6
Isabel Taube,Art History,4.7,67%,3.1
Jana Cua,Biology,5.0,N/A,2.5
Paul Sherbow,Religion,3.1,100%,2.6
Gabriel Greenberg,Philosophy,4.8,N/A,3.5
Rezwana Karim,Computer Science,3.5,N/A,4
Joanne Sills,English,4.3,N/A,2.2
Keith Cooper,Biochemistry,3.1,100%,3.5
Andrew Baxter,Mathematics,4.8,N/A,2.5
Michael Chikindas,Food Science,4.4,100%,2.6
J Hirsch,Communication,3.0,N/A,1
Sara Moshirvaziri,Spanish,5.0,100%,3
Jennifer Wang,Philosophy,4.6,N/A,1.8
Erin Kelly,English,3.0,N/A,3.3
Jeanne Vaccaro,Women's Studies,1.0,N/A,3.5
Aaron Shenhar,Management,5.0,N/A,3
Mahmud Hassan,Finance,2.0,34%,4
Raymond Baldino,Writing,4.3,N/A,2.3
Perri Stark,Animal Science,1.9,37%,3.6
Dyla Hernandez,Psychology,2.0,N/A,4
Sandee McBride,Education,3.5,N/A,2.5
Susan Durst,Mathematics,3.9,N/A,2.8
Satya Narayan Dasa,Religion,4.9,100%,2
Brian Becker,English,3.3,58%,3.8
Erin Cochran,Economics,4.3,N/A,2.5
Steve Gazzillo,Economics,2.3,N/A,3.7
Cherly Torres,Social Work,0.0,N/A,0
Evin Acan,Economics,4.2,N/A,1.8
Jeehun Park,Economics,3.9,N/A,4.5
Oren Shmuel,Economics,5.0,N/A,3
Ben Levinstein,Philosophy,4.9,100%,3.8
Dawn Harris,Women's Studies,4.5,N/A,2
Christian Jimenez,Political Science,1.3,N/A,4.5
Ken Kuhn,German,4.8,N/A,2.2
Kate Pollard,Art & Design,5.0,100%,2.9
Kedar Mehta,Business,5.0,N/A,1
Monica Torress,Biotechnology,1.5,0%,4.5
Jeanine Nagrod,Labor Studies,2.0,N/A,4
Jason Schwartz,Creative Writing,5.0,N/A,1
Christopher Wheat,Management,2.0,N/A,4
Brian Nakamura,Mathematics,3.8,N/A,2.5
Michael Hill,History,4.0,N/A,3.5
Ivan Rodero,Engineering,3.9,67%,3
Noelle Davies,English,3.0,N/A,4.3
Dan O'Connor,Information Science,4.5,100%,1.9
Chirag Shah,Information Science,4.8,100%,3
Nino Miletic,Labor Studies,4.5,N/A,1.5
Cortney Panzarino,Psychology,5.0,N/A,4
Christopher Medvecky,Psychology,4.9,N/A,2.4
Gus Friedrich,Communication,4.3,N/A,1
John Abrams,English,4.4,N/A,3.3
Farah Vallera,Sociology,4.8,N/A,1
Michael Sorial,Business,3.3,100%,3.5
Eric Carlen,Mathematics,2.9,100%,4.1
Yong Chen,Engineering,3.5,N/A,5
Louis Stamatellos,Business,4.5,N/A,1
Matthew Sasso,Chemistry,0.0,N/A,0
Nadide Olcay,Economics,3.6,N/A,2.2
Mary Sisler,Italian,5.0,N/A,1.5
Priyam Patel,Mathematics,4.8,N/A,1.8
Thom Tyrrell,Mathematics,4.9,N/A,1.9
Marcia Olander,International Studies,3.5,N/A,4
Heather Demarest,Philosophy,4.7,N/A,1.6
Katherine Wasdin,Classics,4.5,N/A,1.5
Melissa Kibbe,Psychology,4.8,N/A,2
Devon Sherman,English,4.8,N/A,1.4
Katrin Polak-Springer,German,4.5,N/A,2
Elishba Haqq-Stevens,English,3.4,0%,3.6
Yusra Naqvi,Mathematics,4.6,N/A,2.3
Levine Naomi,English,4.9,N/A,3
George Chavez,Psychology,4.6,N/A,1.6
Edmund Pajarillo,Nursing,3.3,N/A,4.6
James Whitney,African Studies,4.3,100%,1.6
Nicholas Molnar,History,5.0,N/A,2
Osman Umurhan,Classics,4.0,N/A,2.2
Debbie Hines,Labor Studies,3.4,67%,2.9
Marc Tuazon,Biology,4.7,N/A,2
LI Zhang,Accounting,3.4,80%,4.1
Christine Allegra,Social Work,4.9,100%,1.4
Nami Shin,English,3.4,100%,3.2
David Redlawsk,Political Science,4.2,N/A,2.8
Paul Falkowski,Marine Sciences,4.0,N/A,1
Brenda Cortez,Engineering,1.8,N/A,3.9
Frank Paparella,Management,5.0,N/A,1.4
Harry Haladjian,English,5.0,N/A,3
Dong-Churl Suh,Pharmacy,1.0,N/A,2
John Legrid,Geography,4.1,N/A,2.2
Po-Lam Yung,Mathematics,4.5,N/A,1.6
Benjamin Pauli,Political Science,3.8,N/A,3.2
Dawn Mc Crawe,Social Work,1.0,N/A,4
Jay Williams,Mathematics,5.0,N/A,3
Edmund Parajillo,Nursing,3.5,N/A,3
Jennifer Mittelstadt,History,3.9,100%,3.4
Candace Plunkett,Spanish,5.0,N/A,1
Tiziano Cherubini,Italian,5.0,100%,1.7
John Jonghyun Lee,Science,4.9,100%,1.8
Egdanis Dominicci-Torres,Spanish,5.0,N/A,1
Christophe Kone,German,4.1,N/A,3.8
Kunal Desai,Biology,5.0,N/A,1
Stephanie Clare,English,4.5,N/A,2
MI Shih,Geography,2.5,50%,3.3
Mieke Paulsen,English,3.3,65%,3.5
Dara Murray,Journalism & Media Studies,4.5,N/A,2.2
Julie Howe,Women's Studies,5.0,N/A,2
Nancy Schley,Social Work,2.5,100%,3
Hank Dallmann,Spanish,4.4,N/A,1.8
BO Peng,Political Science,3.5,N/A,2
Veronika Jeltsch,German,5.0,N/A,2
S Jung,Political Science,1.0,N/A,4
David Ferio,Not Specified,3.7,50%,3.1
Kathleen Bishop,Religion,2.8,100%,2.6
S Gully,Not Specified,5.0,N/A,2
Mark DiGiacomo,English,4.6,100%,1.9
A Pinnarski,Not Specified,5.0,N/A,1
James Jannucci,Music,3.3,N/A,3.3
James Appenzeller,Computer Science,4.7,N/A,1.9
Jorge Bravo,Political Science,4.6,N/A,4.2
Bryce Renninger,Communication,3.8,N/A,1.7
Sara Brooks,History,2.9,N/A,2.8
Kathy Peng,Mathematics,4.8,N/A,2
Marius Beceanu,Mathematics,1.8,N/A,4.4
Kathleen Flynn,Dance,3.7,N/A,2.4
Alice Seneres,Mathematics,4.9,100%,2.4
Yunpeng Wang,Mathematics,4.7,N/A,1.2
Laryssa Wirstiuk,English,4.8,N/A,1.4
Karl Babij,Journalism & Media Studies,3.5,N/A,2
Sean Rogers,Labor Studies,5.0,N/A,1
Mike Duhaime,Political Science,0.0,100%,0
Martin Murphy,Business,3.0,N/A,1
(ken) Zhong Zhaodong,Finance,3.8,100%,3.2
Guy Werlen,Biology,3.0,N/A,4
Tewodros (Teddy) Asefa,Not Specified,4.0,34%,1.9
George Harry,Business,3.8,100%,3
Marianthi Ierapetritou,Engineering,3.7,N/A,2.2
Randalle Hughes,English,4.5,N/A,3
Xi Ling Wei,Chinese,3.8,N/A,1.5
Alexandre Morozov,Physics & Astronomy,5.0,N/A,2
Marino Forlino,Italian,4.9,100%,1.6
Peter Jurgec,Linguistics,4.8,N/A,3
Andrew Parker,Comparative Literature,4.6,100%,3.2
Georgia Bush,Economics,4.5,N/A,1.7
Abhishek Bhattacharjee,Computer Science,4.2,90%,3.2
Kyoko Ohnishi,Japanese,3.8,N/A,1.8
Golbarg Bashi,Not Specified,3.8,N/A,2
Usha Eleswarapu,Geography,3.3,50%,2.6
Mary Rigdon,Cognitive Science,2.9,60%,3.2
Pius Essandoh,Psychology,3.5,100%,4
Melinda Schlehlein,French,3.8,N/A,4.1
Howard YU,Biology,3.0,N/A,2
George Perchak,English,4.0,N/A,3
Jeanne Jackson-Devoe,Journalism & Media Studies,3.8,N/A,2
Robert Lindner,Physics,5.0,N/A,1.5
Knight FU,Mathematics,4.6,N/A,2.1
Melanye Price,Political Science,3.6,100%,1.6
Bocheng Jin,Engineering,5.0,N/A,1
Ali Maalaoui,Mathematics,3.3,N/A,3.4
Maria Garcia,Spanish,5.0,N/A,5
Roi Estlein,Communication,4.7,N/A,1.6
William Frank,Mathematics,4.5,N/A,2
Paul Drake,Public Health,4.6,N/A,4.5
Marybeth Altier,Political Science,4.8,N/A,3
Allison Franzese,Marine Sciences,2.5,N/A,2
Franklin Zaromb,Statistics,3.6,N/A,3.3
Kelly Clancy,Political Science,4.0,N/A,2.5
Patrick Shea,Political Science,3.3,N/A,3.5
Beatriz Reyes-Cortes,Anthropology,5.0,N/A,3
Amit Potdar,Operations Management,0.0,N/A,0
Annie Hogan,Photography,3.4,N/A,3.3
Ira Zecker,Accounting,4.8,N/A,2
Mark Brenneman,Genetics,5.0,N/A,3
Roberto Santiago,English,0.0,N/A,0
Bradley Farberman,English,4.8,N/A,2
Ming GU,Finance,4.0,N/A,3.7
Benjamin Eldredge,Art History,4.0,N/A,2
Andrea Mueller,Sociology,5.0,N/A,1.5
Dario Pompili,Engineering,1.3,0%,3.6
Olivia Florek,English,5.0,N/A,3
Beverly Tepper,Food Science,5.0,N/A,1.5
David Karpf,Journalism & Media Studies,4.5,N/A,2
Nadav Lipkin,English,1.8,50%,3.4
Abbie Reardon,English,4.3,100%,3.5
Luis Leyva,Education,3.5,N/A,2
Zuelay Rosario-Cruz,Microbiology,5.0,N/A,2
Arnout Van Der Meer,History,3.0,N/A,3
Tobias Wilsch,Philosophy,5.0,N/A,2.7
Kari Prassack,English,3.1,N/A,3.5
James Caron,History,4.5,N/A,3
Christopher Manente,Education,3.0,67%,3.2
Shweta Sagari,Computer Science,0.0,N/A,0
Sara Mana,Geology,3.0,0%,3.1
Christina Chicknas,History,4.5,N/A,2
Tom Holt,Chemistry,3.4,N/A,2.8
Paula Neves,English,2.9,100%,3.5
Shadi Riazi,Microbiology,5.0,N/A,1
Paul Flood,Business,2.7,N/A,3.3
Kate Burrows,Sociology,3.3,N/A,3
Jeffrey Slater,Social Work,2.3,50%,2
Michael Fredman,Computer Science,2.7,N/A,4.3
Erik Hoversten,Philosophy,4.0,N/A,2.1
Dale Rogers,Business,1.8,N/A,3.5
Jessica Lingel,Library & Information Science,5.0,N/A,2
Barry Sopher,Economics,4.1,100%,2.5
Jonathan Baillehache,French,3.6,50%,3.2
Thony Gillies,Philosophy,3.9,50%,3.6
Joan Meyers,Labor Studies,4.0,N/A,2.2
Ziad Matni,Information Science,3.7,50%,3
Patrick McKay,Labor Studies,1.3,N/A,3.5
Rebecca Kehoe,Labor Studies,4.3,N/A,3
Julien Roger,Mathematics,4.6,N/A,2.6
Diane Kemper,Nursing,4.0,N/A,3
Danielle Pritchett,Political Science,2.5,N/A,3.6
Marian Diksies,Social Work,4.3,N/A,1.5
Vivian Fang,Accounting,5.0,N/A,2
Yevgen Nazarenko,Biology,4.6,100%,4.3
Maureen Hurd,Music Performance,3.8,N/A,2
Lucia Vedovi,Italian,4.5,N/A,2.7
Zachary Mann,Judaic Studies,3.3,N/A,2.5
Jason Richardson,Pharmacy,0.0,N/A,0
Darrin York,Chemistry,3.2,42%,4
Peter Morin,Biology,2.5,0%,3.5
Fred Solinger,English,3.2,64%,3.7
Ritu Sapra,Economics,4.6,N/A,2.6
Ayako J. Tomiyama,Psychology,5.0,N/A,1.5
Alicia Raia,Sociology,5.0,N/A,1
Michael Solway,Physics,0.0,N/A,0
Emily Zubernis,English,4.8,100%,2.5
Mark Whittaker,Information Science,3.7,N/A,2.7
Enzo Dicostanzo,Finance,0.0,N/A,0
Annalinden Weller,History,3.0,100%,3.5
Harry Williams,Political Science,5.0,N/A,2
Jeff Walling,Engineering,3.8,N/A,3.3
Laura Lawson,Environmental Science,4.2,50%,2.2
William Ryan,English,4.9,N/A,2
Victoria Stone-Cadena,Not Specified,4.7,100%,2.7
Willie Gin,Political Science,0.0,N/A,0
Paul Poast,Political Science,4.3,N/A,2.1
Tadzio Koelb,Writing,4.6,100%,2.7
Karan Chadha,Business,5.0,N/A,2
Ping LU,Mathematics,0.0,N/A,0
Sarah Balkin,English,3.9,N/A,2
Anna Harewood,Sociology,4.0,22%,3.1
Xeuying Chen,Statistics,1.5,N/A,3
Peter Pantelis,Psychology,0.0,N/A,0
Min Cao,Accounting,2.9,34%,3.8
Antonio Cusato,Economics,3.3,N/A,3.5
Daniel Kelemen,Political Science,4.0,N/A,2.8
Minu Poulose,Psychology,4.1,N/A,1
Tung Ching Lee,Food Science,0.0,N/A,0
Darcy Siebert,Social Work,2.3,N/A,4.3
Sarah Novacich,English,4.1,100%,2.4
Amanda Kotch,Writing,5.0,N/A,3
Stephen Seely,Women's Studies,3.9,N/A,2.3
Brian O'Connor,Mathematics,4.9,100%,1.4
Diana Bahri-Nunziante,Mathematics,3.4,50%,3.2
Daniel Halpern,Communication,0.0,N/A,0
Tracy Anderson,Communication,0.0,N/A,0
Vera Dvorak,Linguistics,0.0,N/A,0
Alexander Schliep,Computer Science,2.6,N/A,3.7
Ernest Ruffin,Not Specified,4.4,72%,2.2
Celeste Garcia,Social Work,0.0,N/A,0
Longzhi Lin,Mathematics,4.3,N/A,2.5
Faraz Khan,Physics,5.0,N/A,1
Vijay Ravikumar,Mathematics,5.0,N/A,3
Alec Walen,Philosophy,0.0,N/A,0
Marsha Rosenthal,Public Health,0.0,N/A,0
Gregory Tell,Economics,4.4,N/A,2.7
Neiset Bayouth,Geography,5.0,N/A,4
Branden Fitelson,Philosophy,3.7,N/A,2.6
James Nikopoulos,Italian,3.7,N/A,3.5
Sharon Bzostek,Sociology,4.9,100%,1.4
Juan Ponce-Vazquez,History,2.8,N/A,4
Max Andrucki,Geography,2.5,N/A,3.5
Tamara Swedberg,Information Technology,4.7,50%,1.3
Nora Isacoff,Psychology,4.8,N/A,2.7
Devadutta Basu,Economics,1.2,N/A,4.8
Judith Velez,Social Work,3.0,N/A,3
Robrecht Vanderwel,Psychology,5.0,N/A,2
Sandra Russell-Jones,History,4.5,92%,2.5
Claudy Delne,French,3.5,N/A,2.7
Steven Tuorto,Marine Sciences,4.5,0%,1.7
Han Xiao,Statistics,0.0,100%,0
Teresa Luetjen Keeler,Communication,2.5,N/A,4
David Jespersen,Biology,0.0,N/A,0
Ricardo Mena,Philosophy,4.8,N/A,2.3
Donald Jobbins,Mathematics,3.8,N/A,3.3
Claire Menard,French,0.0,N/A,0
Qayum Nayda,Political Science,3.5,N/A,2
Gunnar Poppe Yanez,Economics,3.4,N/A,3.6
Luca Martinazzi,Mathematics,4.1,N/A,2.8
Jonathan Gribetz,Judaic Studies,5.0,N/A,2
John Curley,Business,3.7,N/A,2.3
Hyunsook Youn,Communication,3.0,50%,3.5
Alexander Mazzaferro,Writing,4.5,100%,3.5
Angelo Nikolopoulos,English,4.5,N/A,1.6
Nida Sajid,Languages,4.9,N/A,2.8
Matthew Weber,Communication,3.7,80%,3.4
Marley Kass,Psychology,5.0,N/A,1
Jawid Mojadeddi,Religion,2.2,50%,3.5
Beth Kraemer,Social Work,3.3,N/A,2
Cynthia Bott,Education,5.0,N/A,1.3
Pushpa Nayar,German,3.0,N/A,4
Malgorzata Boyraz,Communication,3.1,N/A,3.5
Ralph Wyndrum,Library & Information Science,5.0,N/A,2
Michael Lesk,Library & Information Science,3.1,N/A,2
Alex Dimitrov,English,4.8,100%,1.6
Soledad Chacon,Spanish,4.5,N/A,1
Nova Robinson,History,3.8,N/A,3.8
Joanne Loeb,English,4.0,N/A,3
James Hurley,Economics,2.4,N/A,3.6
Arete Bouhlas,English,4.4,86%,3.3
Corinne D. Warrener,Social Work,4.8,N/A,1.5
Norma S. McCobin,Social Work,5.0,N/A,1
John Brothers,Social Work,4.9,N/A,1.8
Jinah Kim,Art History,5.0,N/A,1
Brett Anitra Gilbert,Business,2.4,N/A,3.3
Sean O'Rourke,Mathematics,4.3,N/A,1.3
Myra Robinson,Social Work,5.0,N/A,1
Myungjoo Song,Economics,1.0,N/A,5
Lauren Fanelli,Comparative Literature,4.6,100%,3.2
Olivia Wackowski,Public Health,4.5,N/A,2
Dirk MacFarlane,Public Health,3.9,N/A,2.8
George Diferdinando,Public Health,0.0,N/A,0
Soo-Yeon Hwang,Communication,2.5,N/A,3.4
G. P. Agrawal,Management,2.0,N/A,3.9
Stella Woodard,Geology,2.0,N/A,5
Linda Remolino,Education,0.0,N/A,0
Thomas Smith,Political Science,1.0,N/A,5
Salome Blignaut,English,4.3,N/A,2.7
Judith Bess,Social Work,3.3,N/A,2
Michael Hicks,Philosophy,5.0,N/A,2
Ulrich Oertel,Mathematics,0.0,N/A,0
Sheetal Chhabria,History,5.0,N/A,2.5
Go Bong Choi,Engineering,4.2,N/A,1.3
Shambhavi Prakash,English,5.0,N/A,2
Lisa Kazmier,English,0.0,N/A,0
Andréa Melloni,Languages,4.5,N/A,1
Vlad Manole,Economics,2.6,N/A,3.5
Nasim Arbabzadeh,Engineering,5.0,N/A,1
Flavio Hickel,Political Science,4.4,100%,2
Patrick Chappell,English,4.3,N/A,3
Matthew Benton,Philosophy,4.0,N/A,3
Aaron Hostetter,English,5.0,100%,2.7
Jonathon Appels,English,5.0,100%,1.3
Jun Xiang,Economics,4.0,0%,4
CL Nguyen,Dance,0.0,N/A,0
Aubrey Kauffman,Photography,2.0,N/A,3
Natalia Kazakova,Russian,3.9,N/A,2.2
Nick Bello,Animal Science,4.5,100%,2.4
David Maiullo,Physics & Astronomy,5.0,N/A,1
AA Danese,Physics,0.0,N/A,0
Vandana Bajaj,Linguistics,1.7,0%,3.8
Susan Mendelson,Social Work,2.0,N/A,1.3
Michael Simmons,Public Health,4.8,100%,1.2
Joshua Dobias,Psychology,4.9,N/A,1.4
Sattik Deb,Labor Studies,3.6,N/A,2.9
Wansoo IM,Computer Science,0.0,N/A,0
Phil Davies,Finance,0.0,N/A,0
Jamie Perry,Management,0.0,N/A,0
Steven Black,Anthropology,4.0,N/A,2
Robert Moore,Computer Science,5.0,N/A,4
Mona Lena Krook,Political Science,3.0,0%,3.4
Joseph Fondell,Biochem. & Molecular Biology,0.0,N/A,0
Lauren Choplin,English,0.0,N/A,0
Tasia Milton,English,5.0,N/A,3
Grant Newman,Fine Arts,4.5,N/A,3
Jesus Benavente,Fine Arts,5.0,N/A,1
Vikash Singh,Sociology,3.9,N/A,1.6
Danielle Young,Psychology,4.1,N/A,2.4
Brandon Bate,Mathematics,5.0,N/A,3
Junko Schwartzman,Japanese,5.0,N/A,3
Shahab Shojaei-Zadeh,Engineering,3.3,67%,4.3
Meaghan Bratichak,Art History,4.7,N/A,3
Jeffrey Alcoser,Business,5.0,N/A,1.5
Shannon Chase,Music,2.9,N/A,2.5
Cixiu Gao,Economics,3.3,N/A,2.5
Andrew Parks,English,5.0,100%,2.5
Olga Myndyuk,Mathematics,1.6,N/A,3.3
Marc Slaff,Entomology,4.5,N/A,2.5
Christian Aziz,Information Technology,5.0,N/A,1
Osman Can Selan,Computer Science,0.0,N/A,0
Chris Weimar,Political Science,0.0,N/A,0
John Hunter,English,4.0,100%,3.3
Francine Moccio,Labor Studies,2.4,N/A,3.5
Pamela McElwee,Environmental Science,4.4,100%,3.3
Vaughn Anderson,Comparative Literature,4.9,100%,1.6
Tara Harrison,Psychology,3.9,N/A,1.8
Paul Walberg,Ecology & Evolutionary Biology,5.0,100%,1
XI Yan,Statistics,1.0,N/A,4.5
Jeremy Perkins,Linguistics,4.3,N/A,3
Shatima Jones,Sociology,3.0,N/A,4
Emilio De Lia,Management,4.4,100%,3.1
Leah Devun,History,3.6,40%,3.5
Melissa Bobe,English,4.9,N/A,2.3
Chinonye Chukwu,Film,4.0,N/A,3
Adam Hantel,Women's Studies,4.4,100%,2.1
Robin Gaby-Fisher,Journalism & Media Studies,4.9,100%,2.2
Aaron Schachter,Classics,4.0,100%,1.5
Hao Wang,Engineering,3.0,0%,3
Dan Grek,Engineering,5.0,N/A,2
Eric Gonzales,Engineering,5.0,N/A,3.5
Kyle McAuley,English,4.1,46%,3.2
Suzanne Klein,Business,2.4,N/A,2.8
Jeremy Lamaster,Women's Studies,4.6,100%,1.6
Ann Shafer,Art History,2.5,N/A,3.5
Lilia Raileanu,Sociology,0.0,N/A,0
Jamie Barber,English,4.9,N/A,2
Ghassan Moussawi,Sociology,4.2,N/A,3.2
Tal Zalmanovich,History,3.0,N/A,4.7
Gabriel Okafor,Sociology,3.8,N/A,1
Amanda O''Sullivan,Writing,5.0,N/A,1.3
Geoffrey P. Wallace,Political Science,3.7,N/A,3.1
Joseph Doria,Political Science,0.0,N/A,0
Dora Vargha,History,4.5,N/A,2
Nafisa Tanjeem,Women's Studies,4.3,N/A,2
Mary Hawkesworth,Women's Studies,4.9,100%,1.6
Marie Pierre-Aubry,Geology,1.6,0%,4.1
Scott De Francesco,English,3.9,N/A,2.8
David Cash,Computer Science,4.7,100%,2.8
Jessica Scheld,Economics,3.8,N/A,2.8
Lauren Murphy,Sociology,3.8,80%,2.3
Meenakshi Dutt,Chemical & Biological Engin.,3.0,0%,3
Stavroula Sofou,Bioengineering,4.8,N/A,2.3
Helene Sistie,Exercise & Sport Science,3.3,N/A,2
Amanda Dooley,Meteorology,4.7,N/A,2.4
Patrick Devlin,Mathematics,4.7,N/A,1.4
Matthew Cinnirella,English,4.7,100%,2.4
Margaret Ducharme,English,1.9,0%,3.3
MR Erickson,Information Technology,0.0,N/A,0
Jeff Kahn,Mathematics,5.0,N/A,3
Irene Hall,Education,5.0,N/A,3
Elaine Stroud,Human Resources Management,1.0,N/A,5
Sandra Sokowski,Writing,5.0,N/A,2
Lisa Alexander,Human Resources Management,0.0,N/A,0
Irma Palma De Sanchez,Spanish,2.2,34%,2.2
Hee-Chung Chun,Korean,4.5,100%,2.7
Matt Palazzoto,Mathematics,5.0,N/A,2
Kevin LU,Engineering,1.5,N/A,5
Rannie Teodoro,Communication,2.4,N/A,3.6
Barry Schlegel,Labor Studies,4.5,100%,2.7
Kereen Montgomery,French,4.5,N/A,2.3
Stephanie De Luise,Education,0.0,N/A,0
Bandar Albuliwi,English,4.7,100%,2.7
Harvinder Singh,Computer Science,4.4,100%,1.8
Emily Lynch,Anthropology,5.0,N/A,2
Jonathan Wright,Linguistics,0.0,N/A,0
Melissa Widdis,Spanish,4.8,N/A,1.3
Justin Lynd,Mathematics,3.7,N/A,2.8
Joseph Donald,Public Health,4.5,100%,1.7
Johanna Schoen,History,4.7,80%,2.7
Keith Hampton,Communication,1.9,N/A,4
Michael Rogers,Food Science,5.0,N/A,3.2
Tobias Cleven,Labor Studies,3.7,100%,3.2
Kim Andriano,Statistics,1.4,N/A,2.5
Nga Nguyen,Economics,4.2,N/A,1.5
Richard Lathrop,Environmental Science,2.8,15%,3.2
Robert Calamai,Human Resources Management,4.1,79%,2.3
Allison Miller,History,1.8,N/A,1
Hsin-Hui Hsu,Sociology,2.5,N/A,2
Katie Voskoboynik,Biology,5.0,N/A,3
Peter Renzulli,Accounting,2.8,N/A,3.7
Jon Reiner,English,2.8,N/A,4
Margaret Ronda,English,4.8,N/A,4
Richard Cusumano,English,3.6,0%,2.8
Alina Gregorian,English,2.4,N/A,3.5
Matthew Ferguson,Communication,5.0,N/A,2
Nicole Robell,Exercise & Sport Science,4.6,N/A,1.6
Trisha Patel,Business,5.0,N/A,3.4
Wenbo Lu,Sociology,3.3,58%,1.6
Don Monk,Accounting,3.3,17%,3.3
Sameer Mukherjee,Economics,4.3,N/A,2.7
Judith Surkis,History,3.3,50%,3.6
Diana Horowitz,Mathematics,3.8,32%,3
Janell Fetterolf,Psychology,5.0,N/A,1
Lori Pesnell,Communication,5.0,100%,1.3
Stephen McGrail,Writing,4.8,N/A,3
Christopher Cartmill,Theater,4.2,100%,3.4
Maren Daniel,French,2.6,40%,3.1
Mac Wilson,English,1.0,N/A,5
Mara Hughes,Sociology,4.2,N/A,1.7
Allison Leigh,Art History,4.6,100%,2.6
Portia Allen-Kyle,Criminology,3.2,0%,3.4
Robert Sigley,Education,0.0,N/A,0
Uli Kremer,Computer Science,3.9,72%,2.9
Dan Stratila,Management,4.8,N/A,3
Sigrid McAfee,Engineering,2.9,50%,4
Naa Oyo Kwate,Humanities,1.7,0%,5
Michael McKoy,Political Science,3.7,N/A,3
Nathan Graham,Library & Information Science,4.5,N/A,3
Jenn Baxmeyer,Library & Information Science,5.0,N/A,2
Aiisha Harden,Political Science,4.0,100%,4.5
Adam Zellner,Political Science,4.7,100%,1
Emily Midkiff,English,4.5,N/A,2
Collen Powers,Social Work,2.6,N/A,3.3
Satish Gupta,Accounting,3.5,N/A,3.5
Patrick Stettner,Film,4.5,100%,2.3
Ziva Galili,History,5.0,N/A,1.5
Atsushi Oho,Linguistics,2.7,N/A,3.3
Rachel Aparicio,Women's Studies,4.8,N/A,2
Brian Coleman,Social Work,0.0,N/A,0
Zhang Yang,Engineering,3.6,N/A,2.5
Huijie Guan,Physics,4.8,N/A,2
Tsai Janice,Psychology,0.0,N/A,0
Donna Feudo,Pharmacy,0.0,N/A,0
Amy Madrack,Accounting,4.8,N/A,1.7
Diane Haley,Social Work,5.0,100%,2.8
Susan Kenney,French,4.9,100%,3
Vivian Kao,English,5.0,N/A,2.7
Lisa Danish,Anthropology,4.5,N/A,3
Amanda Carpenter,Communication,4.6,N/A,1.5
Justin Bush,Mathematics,5.0,N/A,1
Heidi Hausermann,Environmental Science,4.8,100%,3.4
Seol Ki,Communication,4.4,80%,1.9
Melanie Crisfield,Anthropology,4.5,N/A,3.2
Kunghee Yoon,Accounting,3.4,N/A,3
Ronald Planer,Philosophy,5.0,N/A,1
Christopher Restif,Computer Science,5.0,N/A,1
Sara Manuel,Psychology,3.6,50%,3
Andrew Stroffolino,Sociology,4.7,N/A,1.7
Sebastian Lecourt,English,4.0,N/A,2
Ruthy Sher,Psychology,0.0,N/A,0
Fiordalisi Francesco,Mathematics,3.5,N/A,2
Christine Stearns,Business,5.0,N/A,1
Shuktara Das,Not Specified,3.8,67%,2.6
Yomaira Figueroa,Hispanic Studies,3.6,N/A,2.8
Allison Harbin,Art History,5.0,N/A,1
Jennifer Jacobs,Mathematics,5.0,N/A,1.5
Payal Sharma,Management,4.3,N/A,3.1
